leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
1926670,SOUTH PAGE COMMUNITY SCHOOL DISTRICT,South Page,0,COLLEGE SPRINGS,PAGE,51637,Iowa,IA,205,0.45,0.03,0.33,0.47
4215600,MONESSEN CITY SCHOOL DISTRICT,Monessen,0,MONESSEN,WESTMORELAND,15062,Pennsylvania,PA,977,0.64,0.48,0.33,0.41
507840,HOPE SCHOOL DISTRICT,Hope,0,HOPE,HEMPSTEAD,71801,Arkansas,AR,2686,0.77,0.73,0.33,0.33
200570,NOME PUBLIC SCHOOLS,Nome Public Schools,0,NOME,NOME,99762,Alaska,AK,683,0.54,0.86,0.33,0.25
2600331,TAYLOR EXEMPLAR ACADEMY,Taylor Exemplar,1,TAYLOR,WAYNE,48180,Michigan,MI,582,0.46,0.32,0.33,0.39
3624450,RENSSELAER CITY SCHOOL DISTRICT,Rennselaer,0,RENSSELAER,RENSSELAER,12144,New York,NY,1052,0.54,0.28,0.33,0.44
633900,SALIDA UNION ELEMENTARY,Salida Union,0,SALIDA,STANISLAUS,95368,California,CA,2961,0.53,0.65,0.33,0.39
804380,GRAND VALLEY SCHOOL DISTRICT NO. 16,Grand Valley,0,PARACHUTE,GARFIELD,81635,Colorado,CO,1419,0.35,0.38,0.33,0.43
2600181,ARBOR ACADEMY,Arbor Academy,1,BATTLE CREEK,CALHOUN,49015,Michigan,MI,184,0.56,0.27,0.33,0.46
4502160,FLORENCE 02,Florence 02,0,PAMPLICO,FLORENCE,29583,South Carolina,SC,1269,0.64,0.49,0.33,0.4
2925080,PHELPS COUNTY R-III,Phelps County,0,EDGAR SPRINGS,PHELPS,65462,Missouri,MO,189,0.51,0.04,0.33,0.37
637950,STANISLAUS UNION ELEMENTARY,Stanislaus Union,0,MODESTO,STANISLAUS,95356,California,CA,3179,0.57,0.68,0.33,0.37
629820,PARADISE UNIFIED,Paradise Unified,,PARADISE,BUTTE,95969,California,CA,4654,0.62,0.17,0.33,0.44
100750,CLAY COUNTY,Clay County,0,ASHLAND,CLAY,36251,Alabama,AL,2130,0.61,0.25,0.33,0.36
1718420,HARVARD CUSD 50,Harvard,0,HARVARD,MCHENRY,60033,Illinois,IL,2520,0.46,0.57,0.33,0.42
400370,MIDTOWN PRIMARY SCHOOL,Midtown Primary,1,PHOENIX,MARICOPA,85014,Arizona,AZ,95,0.92,0.79,0.33,0.51
2201740,TERREBONNE PARISH,Terrebonne Parish,0,HOUMA,TERREBONNE,70361,Louisiana,LA,18898,0.6,0.42,0.33,0.36
4501920,DILLON 02,Dillon 02,0,DILLON,DILLON,29536,South Carolina,SC,3534,0.87,0.76,0.33,0.27
2634560,VAN BUREN PUBLIC SCHOOLS,Van Buren,0,BELLEVILLE,WAYNE,48111,Michigan,MI,5869,0.43,0.46,0.33,0.43
1304080,PELHAM CITY,Pelham City,0,PELHAM,MITCHELL,31779,Georgia,GA,1523,0.73,0.59,0.33,0.41
2602010,AKRON-FAIRGROVE SCHOOLS,Akron-Fairgrove,0,FAIRGROVE,TUSCOLA,48733,Michigan,MI,346,0.64,0.15,0.33,0.32
405820,PAGE UNIFIED DISTRICT,Page Unified,0,PAGE,COCONINO,86040,Arizona,AZ,3033,0.62,0.78,0.33,0.29
618390,INGLEWOOD UNIFIED,Inglewood Unified,0,INGLEWOOD,LOS ANGELES,90301,California,CA,14934,0.68,1,0.33,0.26
2600315,EASTERN WASHTENAW MULTICULTURAL ACADEMY,Eastern Washtenaw,1,ANN ARBOR,WASHTENAW,48108,Michigan,MI,216,0.66,0.52,0.33,0.28
603420,ATWATER ELEMENTARY,Atwater Elementary,0,ATWATER,MERCED,95301,California,CA,4612,0.78,0.75,0.33,0.34
3602970,AMSTERDAM CITY SCHOOL DISTRICT,Amsterdam,0,AMSTERDAM,MONTGOMERY,12010,New York,NY,3701,0.37,0.37,0.33,0.42
4025800,REYDON,Reydon,0,REYDON,ROGER MILLS,73660,Oklahoma,OK,117,0.45,0.04,0.33,
4031980,WAURIKA,Waurika,0,WAURIKA,JEFFERSON,73573,Oklahoma,OK,430,0.62,0.24,0.33,0.61
507710,HERMITAGE SCHOOL DISTRICT,Hermitage,0,HERMITAGE,BRADLEY,71647,Arkansas,AR,545,0.74,0.43,0.33,0.28
2600066,DISCOVERY ELEMENTARY SCHOOL,Discovery Elementary,1,FENNVILLE,ALLEGAN,49408,Michigan,MI,103,0.66,0.36,0.33,0.38
408800,TUCSON UNIFIED DISTRICT,Tucson Unified,0,TUCSON,PIMA,85719,Arizona,AZ,57338,0.53,0.7,0.33,0.36
402920,FLORENCE UNIFIED SCHOOL DISTRICT,Florence Unified,0,FLORENCE,PINAL,85232,Arizona,AZ,7323,0.48,0.45,0.33,0.39
1712450,DOLTON SD 148,Dolton SD 148,0,RIVERDALE,COOK,60827,Illinois,IL,2664,0.76,1,0.33,0.33
2600144,MOREY CHARTER SCHOOL,Morey Charter,1,SHEPHERD,ISABELLA,48883,Michigan,MI,244,0.48,0.14,0.33,0.42
2625350,TAHQUAMENON AREA SCHOOLS,Tahquamenon,0,NEWBERRY,LUCE,49868,Michigan,MI,924,0.48,0.11,0.33,0.42
2600211,HURON ACADEMY,Huron Academy,1,STERLING HEIGHTS,MACOMB,48312,Michigan,MI,431,0.38,0.26,0.33,0.4
5400300,FAYETTE COUNTY SCHOOLS,Fayette County,0,FAYETTEVILLE,FAYETTE,25840,West Virginia,WV,6810,0.56,0.07,0.33,0.38
4835400,PORT ARTHUR ISD,Port Arthur ISD,0,PORT ARTHUR,JEFFERSON,77641,Texas,TX,9274,0.75,0.96,0.33,0.31
1712480,DONGOLA SUD 66,Dongola,0,DONGOLA,UNION,62926,Illinois,IL,325,0.55,0.06,0.33,0.34
616410,HAMILTON UNION ELEMENTARY,Hamilton Union,0,HAMILTON CITY,GLENN,95951,California,CA,472,0.99,0.97,0.33,0.32
4024840,PORUM,Porum,0,PORUM,MUSKOGEE,74455,Oklahoma,OK,543,0.69,0.41,0.33,0.43
